1978	5	18.7	75	66	7
1978	6	22.9	177.5	72	7
1978	7	27.7	138	72	7
1978	8	28.1	70	69	6
1978	9	23.5	237.5	73	0
1978	10	17.3	91	66	0
1978	11	11.7	53.5	64	15
1978	12	7.3	29.5	63	15
1979	1	5.6	42.5	62	14
1979	2	7.2	103	62	15
1979	3	8.2	94.5	53	15
1979	4	13	181.5	60	15
1979	5	18.1	150	58	14
1979	6	23.6	213	73	6
1979	7	25.2	136	74	6
1979	8	27.4	118.5	73	7
1979	9	23.8	246	74	0
1979	10	18.5	127.5	67	0
1979	11	12.6	92	70	0
1979	12	7.9	22	64	0
1980	1	4.1	78	64	0
1980	2	3.4	16	54	14
1980	3	7.9	122.5	53	14
1980	4	12.9	108	59	15
1980	5	18.4	223.5	64	7
1980	6	23.1	149.5	70	7
1980	7	24.8	313.5	75	7
1980	8	25.1	337	76	7
1980	9	22.5	68.5	75	15
1980	10	17.2	181	72	15
1980	11	12.1	95	67	0
1980	12	5.1	34.5	64	14
1981	1	1.8	20	66	14
1981	2	3.6	63	65	15
1981	3	8.2	140	62	14
1981	4	13.4	157.5	60	15
1981	5	17.5	169.5	64	15
1981	6	21.7	121	75	7
1981	7	26.8	184	76	6
1981	8	26.1	171	74	7
1981	9	21.5	229.5	74	0
1981	10	16	193.5	67	0
1981	11	9.2	65	68	15
1981	12	5.6	11	64	0
1982	1	3.9	18	61	14
1982	2	4.3	44	58	14
1982	3	8.9	121.5	58	0
1982	4	13.5	130.5	64	0
1982	5	20.2	89.5	68	6
1982	6	21.9	146.5	69	0
1982	7	23.4	231.5	80	7
1982	8	26	362	82	6
1982	9	22.1	284.5	76	0
1982	10	17.2	46	70	0
1982	11	13.4	97	72	0
1982	12	7.1	29.5	68	14
1983	1	4.8	19.5	63	14
1983	2	4.3	36.5	59	14
1983	3	8.2	136	65	14
1983	4	15.7	163	70	15
1983	5	19.3	106	64	7
1983	6	21.8	236.5	67	7
1983	7	25.4	312.5	78	6
1983	8	28	139	76	7
1983	9	23.9	300	80	0
1983	10	17.2	154	66	15
1983	11	11.2	15.5	64	15
1983	12	5	9	65	15
1984	1	2.1	24.5	69	13
1984	2	2.1	93.5	67	14
1984	3	4.8	70.5	61	15
1984	4	12.9	137	66	0
1984	5	18.4	101.5	68	7
1984	6	22.8	225.5	80	7
1984	7	26.6	182	79	7
1984	8	28.5	52.5	75	7
1984	9	23.3	74	70	15
1984	10	17.2	42.5	65	15
1984	11	12.1	60	64	0
1984	12	6.4	41.5	67	0
1985	1	2.8	22.5	62	14
1985	2	5.3	96	66	14
1985	3	8.9	160.5	64	0
1985	4	14.7	203	64	0
1985	5	19.4	202	68	7
1985	6	21.6	367.5	75	7
1985	7	26.7	126.5	75	7
1985	8	27.7	59.5	74	7
1985	9	23.9	166.5	76	0
1985	10	17.6	50.5	69	0
1985	11	11.3	115	70	0
1985	12	5.5	20	64	0
1986	1	2.7	18.5	61	14
1986	2	2.6	32	57	15
1986	3	7.8	146.5	60	14
1986	4	13.9	143.5	62	14
1986	5	17.9	209.5	65	15
1986	6	22.1	214	70	7
1986	7	24.9	327	78	7
1986	8	27.3	14	69	7
1986	9	23.9	79.5	70	15
1986	10	16.2	43.5	64	15
1986	11	11.4	31.5	61	0
1986	12	7.6	90	62	15
1987	1	4.5	55.5	63	15
1987	2	5.4	30.5	58	14
1987	3	8.3	194.5	62	15
1987	4	14.3	59.5	54	15
1987	5	18.6	255.5	65	7
1987	6	23	69.5	66	7
1987	7	26.8	164	71	7
1987	8	27.8	77.5	68	7
1987	9	23.6	197.5	68	15
1987	10	18.7	84.5	68	15
1987	11	12.4	38.5	65	15
1987	12	7.4	7.5	61	15
1988	1	5.6	28	62	14
1988	2	3.4	36	60	15
1988	3	7.8	142.5	61	15
1988	4	13.8	144	58	15
1988	5	18.2	154	61	15
1988	6	22.3	358.5	72	6
1988	7	24.8	179.5	75	8
1988	8	27.2	108.5	72	7
1988	9	24.2	307	74	15
1988	10	16.6	69	66	15
1988	11	9.6	51	63	15
1988	12	5.9	11.5	60	15
1989	1	6.6	97.5	64	15
